DescricaoObraServico,CodigoObraServico,NumeroContrato,NomeOrgao,CidadeSedeOrgao,TipoSituacaoObra,AndamentoObraServico,NomeCredor,TipoIntervencao,TipoSetorBeneficiario,TipoRegimeExecução,TipoObraServico,TipoAcaoEngenharia,TipoCategoriaObraServico,Latitude,Longitude,CidadeObra,Populacao,CodigoIBGE,DataColeta,ValorOriginalContrato,AnoInicioObra,ValorMedicoes,ValorReajustes,ValorAditado,ValorTotalContrato,DiasAditados,DiasParalisados,DiasOriginaisContrato,ValorSuprimido
"CONTRATAÇÃO DE EMPRESA DO RAMO DA CONSTRUÇÃO CIVIL, PARA EXECUÇÃO DE OBRAS DESTINADAS A PAVIMENTAÇÃO E DRENAGEM SUPERFICIAL EM MÉTODO CONVENCIONAL DE PARALELEPÍPEDOS E CONSTRUÇÃO DE CALÇADAS DE PASSEIOS PÚBLICOS NAS RUAS DO INGÁ, PITOMBA, MANGA TRECHO 3 E AV. DO CAJU.",442.007.2021,2020.011.010.001,PREFEITURA MUNICIPAL DE PORTALEGRE,PORTALEGRE,CADASTRADA,NÃO REGISTRADO,SOARES CONSTRUÇÕES & CONSULTORIA LTDA-EPP,PAVIMENTAÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,VIA URBANA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-6.03272,-37.98922,PORTALEGRE,7320,2410207,2021-07-30 10:33:33,390442.19,2020,0,0,0,390442.19,0,0,365,0
CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DAS OBRAS DE ENGENHARIA REFERENTE AMPLIAÇÃO DA ESCOLA MUNICIPAL MONSENHOR PAULO HERONCIO NO MUNICIPIO DE LAGOA NOVA/RN.,405.001.2021,101,PREFEITURA MUNICIPAL DE LAGOA NOVA,LAGOA NOVA,CADASTRADA,NÃO REGISTRADO,ENGSERV COMERCIO E TRANSPORTES LTDA,AMPLIAÇÃO,EDUCAÇÃO,EXECUÇÃO INDIRETA,ESCOLA,OBRA,EDUCAÇÃO E CULTURA,-6.10311,-36.54271,LAGOA NOVA,13983,2406502,2021-07-30 10:33:33,470323.75,2020,0,0,0,470323.75,0,0,123,0
CONTRATAÇÃO DE EMPRESA DE ENGENHARIA ESPECIALIZADA PARA EXECUÇÃO DA OBRA REFERENTE A CONSTRUÇÃO DE UMA UNIDADE BÁSICA DE SAÚDE NO SITIO BURACO DE LAGOA NO MUNICIPIO DE LAGOA NOVA/RN.,405.004.2021,128,PREFEITURA MUNICIPAL DE LAGOA NOVA,LAGOA NOVA,CADASTRADA,NÃO REGISTRADO,MEDEIROS E QUEIROZ ENGENHARIA LTDA,CONSTRUÇÃO,SAÚDE,EXECUÇÃO INDIRETA,POSTO DE SAÚDE,OBRA,SAÚDE,-6.09923,-36.53419,LAGOA NOVA,13983,2406502,2021-07-30 10:33:33,0,2020,0,0,27469.38,27469.38,123,0,187,0
CONTRATAÇÃO DE EMPRESA DE ENGENHARIA ESPECIALIZADA PARA EXECUÇÃO DOS SERVIÇOS PARA CONCLUSÃO DA CONSTRUÇÃO DA CRECHE TIPO B – PROINFÂNCIA DE LAGOA NOVA/RN.,405.006.2021,125,PREFEITURA MUNICIPAL DE LAGOA NOVA,LAGOA NOVA,CADASTRADA,NÃO REGISTRADO,QUALITY ENGENHARIA LTDA,CONSTRUÇÃO,EDUCAÇÃO,EXECUÇÃO INDIRETA,CRECHE,OBRA,EDUCAÇÃO E CULTURA,-6.08978,-36.4688,LAGOA NOVA,13983,2406502,2021-07-30 10:33:33,156936.01,2020,0,0,0,156936.01,0,0,184,0
CONTRATAÇÃO DE EMPRESA DE ENGENHARIA ESPECIALIZADA PARA EXECUÇÃO DOS SERVIÇOS DE PAVIMENTAÇÃO DE RUAS NO DISTRITO MANOEL DOMINGOS NO MUNICÍPIO DE LAGOA NOVA/RN.,405.005.2021,141,PREFEITURA MUNICIPAL DE LAGOA NOVA,LAGOA NOVA,CADASTRADA,NÃO REGISTRADO,CONCREALL COMERCIALIZAÇÃO EIRELI EPP,PAVIMENTAÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,ESTRADA VICINAL NÃO PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-6.11099,-36.58746,LAGOA NOVA,13983,2406502,2021-07-30 10:33:33,206360.8,2020,0,0,0,206360.8,122,0,122,0
CONTRATAÇÃO DE EMPRESA DE ENGENHARIA ESPECIALIZADA PARA EXECUÇÃO DOS SERVIÇOS DE PAVIMENTAÇÃO DE RUAS NO DISTRITO MANOEL DOMINGOS NO MUNICÍPIO DE LAGOA NOVA/RN.,405.005.2021,141,PREFEITURA MUNICIPAL DE LAGOA NOVA,LAGOA NOVA,CADASTRADA,NÃO REGISTRADO,CONCREALL COMERCIALIZAÇÃO EIRELI EPP,PAVIMENTAÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,ESTRADA VICINAL NÃO PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-6.11237,-36.58826,LAGOA NOVA,13983,2406502,2021-07-30 10:33:33,206360.8,2020,0,0,0,206360.8,122,0,122,0
CONTRATAÇÃO DE EMPRESA DE ENGENHARIA ESPECIALIZADA PARA EXECUÇÃO DOS SERVIÇOS DE PAVIMENTAÇÃO DE RUAS NO DISTRITO MANOEL DOMINGOS NO MUNICÍPIO DE LAGOA NOVA/RN.,405.005.2021,141,PREFEITURA MUNICIPAL DE LAGOA NOVA,LAGOA NOVA,CADASTRADA,NÃO REGISTRADO,CONCREALL COMERCIALIZAÇÃO EIRELI EPP,PAVIMENTAÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,ESTRADA VICINAL NÃO PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-6.11173,-36.58726,LAGOA NOVA,13983,2406502,2021-07-30 10:33:33,206360.8,2020,0,0,0,206360.8,122,0,122,0
"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM ENGENHARIA CIVIL PARA CONSTRUÇÃO DE CEMEI, NESTE MUNICÍPIO.",467.001.2021,88,PREFEITURA MUNICIPAL DE SÃO JOSÉ DE MIPIBÚ,SÃO JOSÉ DE MIPIBU,INICIADA,DE ACORDO COM O CRONOGRAMA,CONSTRUTORA ODECAM LTDA. ME,CONSTRUÇÃO,EDUCAÇÃO,EXECUÇÃO INDIRETA,CRECHE,OBRA,EDUCAÇÃO E CULTURA,-6.00025,-35.30395,SÃO JOSÉ DE MIPIBU,39776,2412203,2021-07-30 10:33:33,722398.02,2020,90055.8,0,80937.42,803335.44,310,0,425,0
CONTRATAÇÃO DE EMPRESA PARA REALIZAÇÃO DE OBRA DE CONSTRUÇÃO DE UM BLOCO DE SALAS EM ATENDIMENTO À FANAT/PÓS-GRADUAÇÃO.,536.006.2021,014,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,MOSSORÓ,INICIADA,NÃO REGISTRADO,WSC EMPREENDIMENTOS E CONSTRUCOES LTDA,CONSTRUÇÃO,EDUCAÇÃO,EXECUÇÃO INDIRETA,UNIVERSIDADE,OBRA,EDUCAÇÃO E CULTURA,-5.20537,-37.31512,MOSSORÓ,259815,2408003,2021-07-30 10:33:33,701381.84,2020,0,0,0,701381.84,0,0,365,0
"EXECUÇÃO DE SERVIÇOS DE REFORMA DA CICLOVIA E PASSEIO DO BOSQUE DAS MANGUEIRAS, SITUADO NA AV. NASCIMENTO DE CASTRO, S/N, LAGOA NOVA, EM NATAL/RN.",1278.004.2021,041,SECRETARIA MUNICIPAL DE MOBILIDADE URBANA DE NATAL,NATAL,INICIADA,NÃO REGISTRADO,TECNO-SOL SOLUÇÕES EM TECNOLOGIA EIRELI,REFORMA,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,CICLOVIA,OBRA,ESTRADAS E RODOVIAS,-5.81507,-35.21583,NATAL,803739,2408102,2021-07-30 10:33:33,315649.27,2020,0,0,0,315649.27,901,0,180,0
"CONTRATAÇÃO DE UMA EMPRESA PARA CONSTRUÇÃO DE UMA QUADRA DE FUTEBOL SOCIETY EM TRAÍRAS, ZONA RURAL DO MUNICÍPIO DE MACAÍBA. CUJO RECURSO SERÁ PROVENIENTE DO CONTRATO DE REPASSE Nº 1060254-61/2018",1246.013.2021,89,SECRETARIA MUNICIPAL DE INFRAESTRUTURA DE MACAÍBA,MACAÍBA,CADASTRADA,NÃO REGISTRADO,ICONE ENGENHARIA,CONSTRUÇÃO,ESPORTE,EXECUÇÃO INDIRETA,QUADRA DE ESPORTE,OBRA,ESPORTE E LAZER,-5.9906,-35.48687,MACAÍBA,69467,2407104,2021-07-30 10:33:33,443752.66,2020,0,0,0,443752.66,0,0,239,0
SERVIÇOS DE CONCLUSÃO DAS ARQUIBANCADAS DO MÓDULO I DO ESTÁDIO DE FUTEBOL - VILA OLÍMPICA - MACAÍBA/RN.,1246.008.2021,88,SECRETARIA MUNICIPAL DE INFRAESTRUTURA DE MACAÍBA,MACAÍBA,CADASTRADA,NÃO REGISTRADO,CLN LOCAÇÕES SERVIÇOS EIRELI,CONSTRUÇÃO,ESPORTE,EXECUÇÃO INDIRETA,ESTÁDIO,OBRA,ESPORTE E LAZER,-5.85511,-35.38086,MACAÍBA,69467,2407104,2021-07-30 10:33:33,1602665.48,2020,0,0,0,1602665.48,0,0,319,0
"EXECUTAR OS SERVIÇOS E FORNECIMENTO DE INSUMOS PARA REFORMA, AMPLIAÇÃO E MANUTENÇÃO DAS PASSARELAS METÁLICAS DAS AV. SALGADO FILHO E BERNARDO VIEIRA EM NATAL/RN.",1278.008.2021,040,SECRETARIA MUNICIPAL DE MOBILIDADE URBANA DE NATAL,NATAL,REINICIADA,ATRASADO COM RELAÇÃO AO CRONOGRAMA,R. DE PAULA CONSTRUÇÕES LTDA-ME,OUTROS,OUTRO,EXECUÇÃO INDIRETA,PASSARELA,OBRA,ESTRADAS E RODOVIAS,-5.82471,-35.20947,NATAL,803739,2408102,2021-07-30 10:33:33,749929.5,2020,23931.41,0,69195.84,819125.34,363,77,180,0
"EXECUTAR OS SERVIÇOS E FORNECIMENTO DE INSUMOS PARA REFORMA, AMPLIAÇÃO E MANUTENÇÃO DAS PASSARELAS METÁLICAS DAS AV. SALGADO FILHO E BERNARDO VIEIRA EM NATAL/RN.",1278.008.2021,040,SECRETARIA MUNICIPAL DE MOBILIDADE URBANA DE NATAL,NATAL,REINICIADA,ATRASADO COM RELAÇÃO AO CRONOGRAMA,R. DE PAULA CONSTRUÇÕES LTDA-ME,OUTROS,OUTRO,EXECUÇÃO INDIRETA,PASSARELA,OBRA,ESTRADAS E RODOVIAS,-5.80159,-35.23548,NATAL,803739,2408102,2021-07-30 10:33:33,749929.5,2020,23931.41,0,69195.84,819125.34,363,77,180,0
EXECUÇÃO DE OBRAS DE URBANIZAÇÃO E PAVIMENTAÇÃO DA ÁREA EXTERNA DO CENTRO DE CONVENÇÕES DE NATAL/RN.,528.001.2021,016,SECRETARIA DE ESTADO DA INFRA-ESTRUTURA,NATAL,INICIADA,DE ACORDO COM O CRONOGRAMA,JOAO HIGOR PINTO DIAS EPP (SUSSUARANA ENGENHARIA E ARQUITETURA),PAVIMENTAÇÃO ASFÁLTICA,TURISMO,EXECUÇÃO INDIRETA,TERMINAL TURÍSTICO,OBRA,TURISMO,-5.8625,-35.18309,NATAL,803739,2408102,2021-07-30 10:33:33,817453.78,2020,252039.71,0,0,817453.78,0,0,239,0
CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM ENGENHARIA PARA EXECUTAR SERVIÇOS DE REFORMA DO GINÁSIO POLIESPORTIVO ESTRELA DO MAR,374.001.2021,10,PREFEITURA MUNICIPAL DE EXTREMOZ,EXTREMOZ,CADASTRADA,NÃO REGISTRADO,CONARTE PROJETOS E CONSTRUÇÕES E SERVIÇOS LTDA-EPP,OUTROS,OUTRO,EXECUÇÃO INDIRETA,UNIDADES ADMINISTRATIVAS,OBRA,PRÉDIOS PÚBLICOS,-5.70544,-35.29087,EXTREMOZ,24569,2403608,2021-07-30 10:33:33,272581.99,2020,0,0,0,272581.99,307,0,365,0
CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM ENGENHARIA PARA EXECUTAR SERVIÇOS DE REFORMA DO GINÁSIO POLIESPORTIVO ESTRELA DO MAR,374.003.2021,10,PREFEITURA MUNICIPAL DE EXTREMOZ,EXTREMOZ,CONCLUÍDA - COM TERMO DE RECEBIMENTO PROVISÓRIO,DE ACORDO COM O CRONOGRAMA,CONARTE PROJETOS E CONSTRUÇÕES E SERVIÇOS LTDA-EPP,REFORMA,ESPORTE,EXECUÇÃO INDIRETA,GINÁSIO POLIESPORTIVO,OBRA,ESPORTE E LAZER,-5.70541,-35.29094,EXTREMOZ,24569,2403608,2021-07-30 10:33:33,272581.99,2020,602683.74,0,0,272581.99,307,0,365,0
RECAPEAMENTO DE PAVIMENTAÇÃO ASFALTICA CBUQ RUA PASTOR JOSÉ SEGUNDO ROCHA - JARDINS DE EXTREMOZ - MUNICÍPIO DE EXTREMOZ/RN,374.006.2021,13,PREFEITURA MUNICIPAL DE EXTREMOZ,EXTREMOZ,PARALISADA,DE ACORDO COM O CRONOGRAMA,TCPAV-TECNOLOGIA EM CONSTRUCAO E PAVIMENTACAO EIRELI,PAVIMENTAÇÃO ASFÁLTICA,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,RODOVIA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-5.70106,-35.28867,EXTREMOZ,24569,2403608,2021-07-30 10:33:33,205086.84,2020,57114.22,0,0,205086.84,0,246,92,0
CONTRATAÇÃO DE EMPRESA DE ENGENHARIA PARA EXECUÇÃO DE OBRA DE PAVIMENTAÇÃO A PARALELEPIPEDO COM DRENAGEM SUPERFICIAL DA RUA DE ACESSO AO CONJUNTO PÔR DO SOL NO MUNICÍPIO DE ESPÍRITO SANTO/RN.,373.007.2021,050,PREFEITURA MUNICIPAL DE ESPIRITO SANTO,ESPÍRITO SANTO,CADASTRADA,NÃO REGISTRADO,ICONE ENGENHARIA LTDA,PAVIMENTAÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,VIA URBANA NÃO PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-6.33628,-35.31442,ESPÍRITO SANTO,10475,2403509,2021-07-30 10:33:33,91155.75,2020,0,0,0,91155.75,0,0,120,0
CONTRATAÇÃO DE EMPRESA DE ENGENHARIA PARA EXECUÇÃO DE OBRA DE PAVIMENTAÇÃO A PARALELEPIPEDO COM DRENAGEM SUPERFICIAL DA RUA DE ACESSO AO CONJUNTO PÔR DO SOL NO MUNICÍPIO DE ESPÍRITO SANTO/RN.,373.007.2021,050,PREFEITURA MUNICIPAL DE ESPIRITO SANTO,ESPÍRITO SANTO,CADASTRADA,NÃO REGISTRADO,ICONE ENGENHARIA LTDA,PAVIMENTAÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,VIA URBANA NÃO PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-6.33628,-35.31442,ESPÍRITO SANTO,10475,2403509,2021-07-30 10:33:33,91155.75,2020,0,0,0,91155.75,0,0,120,0
"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NOS SERVIÇOS DE URBANIZAÇÃO DAS MARGENS DA RN063, TRECHO DA BR101 ATÉ A LINHA DA RFSA.",467.004.2021,89,PREFEITURA MUNICIPAL DE SÃO JOSÉ DE MIPIBÚ,SÃO JOSÉ DE MIPIBU,CONCLUÍDA - COM TERMO DE RECEBIMENTO PROVISÓRIO,DE ACORDO COM O CRONOGRAMA,PLANO A SERVIÇOS EIRELI - EPP,OUTROS,OUTRO,EXECUÇÃO INDIRETA,UNIDADES ADMINISTRATIVAS,OBRA,PRÉDIOS PÚBLICOS,-6.14028,-35.39278,SÃO JOSÉ DE MIPIBU,39776,2412203,2021-07-30 10:33:33,307899.92,2020,136393.9,0,0,307899.92,0,0,241,0
"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NOS SERVIÇOS DE URBANIZAÇÃO DAS MARGENS DA RN063, TRECHO DA BR101 ATÉ A LINHA DA RFSA.",467.004.2021,89,PREFEITURA MUNICIPAL DE SÃO JOSÉ DE MIPIBÚ,SÃO JOSÉ DE MIPIBU,CONCLUÍDA - COM TERMO DE RECEBIMENTO PROVISÓRIO,DE ACORDO COM O CRONOGRAMA,PLANO A SERVIÇOS EIRELI - EPP,OUTROS,OUTRO,EXECUÇÃO INDIRETA,UNIDADES ADMINISTRATIVAS,OBRA,PRÉDIOS PÚBLICOS,-6.14221,-35.39214,SÃO JOSÉ DE MIPIBU,39776,2412203,2021-07-30 10:33:33,307899.92,2020,136393.9,0,0,307899.92,0,0,241,0
CONTRATAÇÃO DOS SERVIÇOS ESPECIALIZADOS DE ENGENHARIA PARA EXECUÇÃO DE PAVIMENTAÇÃO POR MÉTODO CONVENCIONAL DE CONTINUAÇÃO DA AVENIDA  DAS PALMEIRAS NO MUNICÍPIO DE GOIANINHA,382.004.2021,35,PREFEITURA MUNICIPAL DE GOIANINHA,GOIANINHA,INICIADA,ATRASADO COM RELAÇÃO AO CRONOGRAMA,RN CONSTRUÇÕES E SERVIÇOS LTDA ME,PAVIMENTAÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,RODOVIA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-6.28407,-35.20698,GOIANINHA,22481,2404200,2021-07-30 10:33:33,293387.96,2019,32667.46,0,0,293387.96,358,0,214,0
CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE TAMPAS EM CONCRETO (PARA CAIXAS D'ÁGUA) E PEQUENOS SERVIÇOS EM DIVERSOS PRÉDIOS PÚBLICOS NO MUNICÍPIO DE JARDIM DO SERIDÓ/RN,399.008.2021,066,PREFEITURA MUNICIPAL DE JARDIM DO SERIDÓ,JARDIM DO SERIDÓ,CONCLUÍDA - COM TERMO DE RECEBIMENTO PROVISÓRIO,DE ACORDO COM O CRONOGRAMA,A A J ENGENHARIA LTDA,OUTROS,ADMINISTRAÇÃO CENTRAL,EXECUÇÃO INDIRETA,REPARAÇÃO,SERVIÇO DE ENGENHARIA,SERVIÇOS DE ENGENHARIA,-6.59006,-36.77989,JARDIM DO SERIDÓ,12113,2405702,2021-07-30 10:33:33,47169.8,2020,42102.24,0,0,47169.8,0,0,365,0
"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM MANUTENÇÃO PREDIAL PARA EXECUÇÃO DE REFORMA NA GOVERNADORIA, NO CENTRO ADMINISTRATIVO, EM NATAL/RN",528.005.2021,013,SECRETARIA DE ESTADO DA INFRA-ESTRUTURA,NATAL,INICIADA,NÃO REGISTRADO,CASTRO & ROCHA LTDA – ME (LUX ENERGIA E SERVIÇOS LTDA),REFORMA,ADMINISTRAÇÃO CENTRAL,EXECUÇÃO INDIRETA,UNIDADES ADMINISTRATIVAS,OBRA,PRÉDIOS PÚBLICOS,-5.83032,-35.21267,NATAL,803739,2408102,2021-07-30 10:33:33,81582.38,2020,0,0,0,81582.38,0,0,149,0
"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM CONSTRUÇÃO CIVIL PARA CONSTRUÇÃO DO PÓRTICO DE ACESSO, BEM COMO SERVIÇOS DE RECUPERAÇÃO E REFORMA DAS INSTALAÇÕES FÍSICAS DA SEDE DO DETRAN - 1ª ETAPA - SETORES DE PRÁTICA E DE HABILITAÇÃO / MURO DE CONTORNO, EM NATAL-RN - AV. PERIMETRAL LESTE, Nº 113 – PRIMEIRA ETAPA.",528.004.2021,017,SECRETARIA DE ESTADO DA INFRA-ESTRUTURA,NATAL,INICIADA,DE ACORDO COM O CRONOGRAMA,CONARTE PROJETOS E CONSTRUÇÕES E SERVIÇOS LTDA-EPP,REFORMA E AMPLIAÇÃO,ADMINISTRAÇÃO CENTRAL,EXECUÇÃO INDIRETA,UNIDADES ADMINISTRATIVAS,OBRA,PRÉDIOS PÚBLICOS,-5.82539,-35.24263,NATAL,803739,2408102,2021-07-30 10:33:33,952673.21,2020,569912.91,0,0,952673.21,0,0,239,0
CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUTAR TODAS AS ATIVIDADES INERENTES AO CAPEAMENTO ASFÁLTICO COM CONCRETO BETUMINOSO A QUENTE ( CBUQ) COM SINALIZAÇÃO HORIZONTAL DE DIVERSAS RUAS DO MUNICÍPIO DE MONTANHAS,417.004.2021,36,PREFEITURA MUNICIPAL DE MONTANHAS,MONTANHAS,CADASTRADA,NÃO REGISTRADO,TCPAV-TECNOLOGIA EM CONSTRUCAO E PAVIMENTACAO EIRELI,OUTROS,OUTRO,EXECUÇÃO INDIRETA,VIA URBANA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-6.4866,-35.28731,MONTANHAS,11413,2407708,2021-07-30 10:33:33,387074.79,2020,0,0,0,387074.79,212,0,214,0
CONTRATAÇÃO DE EMPRESA DE ENGENHARIA PARA REFORMA E AMPLIAÇÃO DA QUADRA DE ESPORTE DO BAIRRO BARRO VERMELHO NO MUNICÍPIO DE ITAJÁ/RN.,388.007.2021,010210,PREFEITURA MUNICIPAL DE ITAJÁ,ITAJÁ,INICIADA,NÃO REGISTRADO,RENASCENÇA EMPREENDIMENTOS EIRELI – EPP,CONSTRUÇÃO,ESPORTE,EXECUÇÃO INDIRETA,UNIDADES ADMINISTRATIVAS,OBRA,PRÉDIOS PÚBLICOS,-5.63826,-36.86464,ITAJÁ,6932,2404853,2021-07-30 10:33:33,107368.97,2020,0,0,0,107368.97,60,0,120,0
"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DAS OBRAS DE: MODERNIZAÇÃO NO GINÁSIO POLIESPORTIVO PEDRO FERREIRA DE SOUSA “O FERREIRÃO” E MODERNIZAÇÃO DA QUADRA DESCOBERTA NO BAIRRO NOVO HORIZONTE, AMBOS NESTE MUNICÍPIO DE ALEXANDRIA/RN",339.004.2021,2019.07.05-0001,PREFEITURA MUNICIPAL DE ALEXANDRIA,ALEXANDRIA,INICIADA,NÃO REGISTRADO,M H F FREITAS EIRRELI - ME,OUTROS,OUTRO,EXECUÇÃO INDIRETA,UNIDADES ADMINISTRATIVAS,OBRA,PRÉDIOS PÚBLICOS,-6.40453,-38.0099,ALEXANDRIA,13507,2400505,2021-07-30 10:33:33,250582.35,2019,0,0,0,250582.35,364,0,365,0
"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DAS OBRAS DE: MODERNIZAÇÃO NO GINÁSIO POLIESPORTIVO PEDRO FERREIRA DE SOUSA “O FERREIRÃO” E MODERNIZAÇÃO DA QUADRA DESCOBERTA NO BAIRRO NOVO HORIZONTE, AMBOS NESTE MUNICÍPIO DE ALEXANDRIA/RN",339.004.2021,2019.07.05-0001,PREFEITURA MUNICIPAL DE ALEXANDRIA,ALEXANDRIA,INICIADA,NÃO REGISTRADO,M H F FREITAS EIRRELI - ME,OUTROS,OUTRO,EXECUÇÃO INDIRETA,UNIDADES ADMINISTRATIVAS,OBRA,PRÉDIOS PÚBLICOS,-6.39779,-38.02165,ALEXANDRIA,13507,2400505,2021-07-30 10:33:33,250582.35,2019,0,0,0,250582.35,364,0,365,0
SERVIÇOS DE IMPLANTAÇÃO DE GRAMADOS NOS CAMPOS DE NAZARÉ E FELIPE CAMARÃO,1281.003.2021,008,SECRETARIA MUNICIPAL DE ESPORTE E LAZER DE NATAL,NATAL,INICIADA,DE ACORDO COM O CRONOGRAMA,EMKO CONSTRUTORA EIRELI,OUTROS,OUTRO,EXECUÇÃO INDIRETA,UNIDADES ADMINISTRATIVAS,OBRA,PRÉDIOS PÚBLICOS,-5.81528,-35.2353,NATAL,803739,2408102,2021-07-30 10:33:33,358706.41,2020,170464.5,0,20175.85,378882.26,234,0,119,0
SERVIÇOS DE IMPLANTAÇÃO DE GRAMADOS NOS CAMPOS DE NAZARÉ E FELIPE CAMARÃO,1281.003.2021,008,SECRETARIA MUNICIPAL DE ESPORTE E LAZER DE NATAL,NATAL,INICIADA,DE ACORDO COM O CRONOGRAMA,EMKO CONSTRUTORA EIRELI,OUTROS,OUTRO,EXECUÇÃO INDIRETA,UNIDADES ADMINISTRATIVAS,OBRA,PRÉDIOS PÚBLICOS,-5.82738,-35.26191,NATAL,803739,2408102,2021-07-30 10:33:33,358706.41,2020,170464.5,0,20175.85,378882.26,234,0,119,0
SERVIÇOS DE CONSTRUÇÃO DE UMA QUADRA POLIESPORTIVA NA COMUNIDADE DE BELA VISTA – MACAÍBA/RN.,1246.012.2021,93,SECRETARIA MUNICIPAL DE INFRAESTRUTURA DE MACAÍBA,MACAÍBA,CADASTRADA,NÃO REGISTRADO,ICONE ENGENHARIA,CONSTRUÇÃO,ESPORTE,EXECUÇÃO INDIRETA,QUADRA DE ESPORTE,OBRA,ESPORTE E LAZER,-5.95107,-35.30009,MACAÍBA,69467,2407104,2021-07-30 10:33:33,37913881,2020,0,0,0,37913881,0,0,239,0
SERVIÇOS DE CONSTRUÇÃO DO VESTIÁRIO DO CAMPO DE FUTEBOL SENADOR JOÃO CÂMARA - BAIRRO DAS ROCAS,1281.004.2021,014,SECRETARIA MUNICIPAL DE ESPORTE E LAZER DE NATAL,NATAL,INICIADA,NÃO REGISTRADO,ST CONSTRUÇÕES E INCORPORAÇÕES LTDA,CONSTRUÇÃO,ESPORTE,EXECUÇÃO INDIRETA,CAMPO DE FUTEBOL,OBRA,ESPORTE E LAZER,-5.77607,-35.20208,NATAL,803739,2408102,2021-07-30 10:33:33,119047.53,2020,0,0,24494.95,143542.48,157,0,364,0
"EXECUÇÃO DOS SERVIÇOS/OBRAS DE INFRAESTRUTURA EM DIVERSOS LOGRADOUROS E BAIRROS DE NATAL/RN, A SABER, LOTE III: POTILÂNDIA, CANDELÁRIA E LAGOA NOVA - ZONA SUL - NATAL/RN.",1282.003.2021,014,SECRETARIA MUNICIPAL DE OBRAS PÚBLICAS E INFRAESTRUTURA DE NATAL,NATAL,CADASTRADA,NÃO REGISTRADO,AB EMPREENDIMENTOS E CONSTRUÇÕES LTDA,PAVIMENTAÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,VIA URBANA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-5.86861,-35.21608,NATAL,803739,2408102,2021-07-30 10:33:33,846454.83,2020,0,0,0,846454.83,270,0,269,0
"CONSTRUÇÃO DE MURO, PARA CONTORNO DOS REL‘S – RESERVATÓRIOS ELEVADOS E RAP – RESERVATÓRIO APOIADO, CONSTITUINTES DO SISTEMA ADUTOR MAXARANGUAPE SÃO GONÇALO DO AMARANTE / RN.",509.002.2021,17120002,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SÃO GONÇALO DO AMARANTE,SÃO GONÇALO DO AMARANTE,INICIADA,DE ACORDO COM O CRONOGRAMA,JP MATERIAL ELETRICO E DE CONSTRUÇÃO EIRELI EPP,CONSTRUÇÃO,ADMINISTRAÇÃO CENTRAL,EXECUÇÃO INDIRETA,RESERVATÓRIO DE ÁGUA,OBRA,SANEAMENTO BÁSICO,-5.74842,-35.29743,SÃO GONÇALO DO AMARANTE,87668,2412005,2021-07-30 10:33:33,132754.81,2020,65585.9,0,0,132754.81,151,0,62,0
